Category,Word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1. Things to Ride (13),Taxi,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say
1. Things to Ride (13),Truck,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say
1. Things to Ride (13),Helipcopter,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say
2. Toys and Stationery (14),Ball,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say
2. Toys and Stationery (14),Robot,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,I don't know/It's hard to say
2. Toys and Stationery (14),Block,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say
2. Toys and Stationery (14),Soap Bubble,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Cannot be counted.,Cannot be counted.,Can be counted.,Cannot be counted.,Can be counted.,I don't know/It's hard to say,Cannot be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Cannot be counted.,I don't know/It's hard to say,Can be counted.,Cannot be counted.,Can be counted.,Cannot be counted.,Cannot be counted.,Cannot be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,I don't know/It's hard to say
2. Toys and Stationery (14),Gift/present,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Cannot be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,I don't know/It's hard to say
2. Toys and Stationery (14),Pencil,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say
2. Toys and Stationery (14),Doll,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say
2. Toys and Stationery (14),Toy,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say
2. Toys and Stationery (14),Paper,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say
2. Toys and Stationery (14),Book,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say
2. Toys and Stationery (14),Gun,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,I don't know/It's hard to say
2. Toys and Stationery (14),Crayon,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say
2. Toys and Stationery (14),Glue/Gluestick,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say
2. Toys and Stationery (14),Balloon,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say
3. Animals (41),Dog,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Frog,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Ant,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Turtle,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Goose,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Cat,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Bear,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Dinosaur,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Cannot be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Giraffe,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Butterfly,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Squirrel,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Chicken/Rooster,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Donkey,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Animal,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Cannot be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Pig,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Horse,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Fish,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Snake,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Bee,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Bug,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,Cannot be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Chick,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Owl,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),PIgeon,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Deer,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Lion,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Bird,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Cow,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Calf,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Crocodile,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,I don't know/It's hard to say,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Sheep,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Fox,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Goat,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Duck,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
3. Animals (41),Monkey,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.,Can be counted.
